Program ID,Ledger ID key,Program Name,Ceded ID,UMR,Trading Partner,Premium Type,Partner/Deal Name,Direct ID,Ceded Percentage,Fronting Commission %,Brokerage Commission %,Ceded UW Year,ULAE IBNR Cession,ULAE Reserves Cession,Ceded Commission %,Effective Date,Expiration Date,Ceding Commission,Excess Ceding Commission,Hadron Brokerage Comission,TPA Fee / ULAE Cession,Lower Limit Exclusion,Higher Limit Exclusion,Attachment Point,Layer Limit,Placement %
LPL-CX0,CX0LPL,Ledgebrook PL,CX0LPL,HSIC-1LEDG01-2026-01,,QS,Steadily,DX0STE,0.775,0.05,0.0,2026,0.0,0.7097,0.2271,2026-01-01,2026-12-31,0.235,0.05,0,0,,,,,
STE-CX0,CX0STE,Steadily,CX0STE,HSIC-1SDLY01-2026-01,,QS,Core Programs - GL,DX0COR,0.0,0.0,0.0,2025,0.0,0.0,0.0,2026-01-01,2026-12-31,0.23,0.05,0,1,,,,,
STE-CX1,CX0STE,Steadily,CX0STE,HSIC-1SDLY01-2026-01,,QS,Core Programs - GL,DX0COR,0.0,0.0,0.0,2025,0.0,0.0,0.0,2026-01-01,2026-12-31,0.2,0.07,0,0,,,,,
LCY-CX0,CX0LCY,Ledgebrook Cyber,CX0LCY,HSIC-1LEDG02-2026-01,,QS,Ledgebrook - Large Casuality,DX0LLC,0.8,0.05125,0.0,2026,0.0,0.0,0.25875,2026-05-01,2027-04-30,0.235,0.05,0,0,,,,,
LCY-CX1,CX0LCY,Ledgebrook Cyber,CX0LCY,HSIC-1LEDG02-2026-01,,QS,Ledgebrook - Large Casuality,DX0LLC,0.8,0.05125,0.0,2026,0.0,0.0,0.25875,2026-05-01,2027-04-30,0.235,0.055,0,0,,,,,
TOG-CX0,CX0TOG,,CX0TOG,HSIC-1TOGA01,,QS,Ledgebrook Cyber,DX0LCY,0.0,0.0,0.0,0,0.0,0.0,0.0,2026-03-01,2027-02-28,0.2,0.05,0,0,,,,,
CIT-CX0,CX0CIT,,CX0CIT,HSIC-1CGSP01-2026-04,,QS,Treaty Oak,DX0TOG,0.0,0.0,0.0,0,0.0,0.0,0.0,2026-04-01,2027-03-31,0.245,0.055,0.01,0,,,,,
CIT-CX0,CX0CIT,,CX0CIT,HSIC-1CGSP01-2026-04,,QS,Treaty Oak,DX0TOG,0.0,0.0,0.0,0,0.0,0.0,0.0,2026-04-01,2027-03-31,0.23,0.05,0,0,,,,,
CIT-CX0,CX0CIT,,CX0CIT,HSIC-1CGSP01-2026-04,,QS,Treaty Oak,DX0TOG,0.0,0.0,0.0,0,0.0,0.0,0.0,2026-04-01,2027-03-31,0.245,0.05,0,0,,,,,
CIT-CX0,CX0CIT,,CX0CIT,HSIC-1CGSP01-2026-04,,QS,Treaty Oak,DX0TOG,0.0,0.0,0.0,0,0.0,0.0,0.0,2026-04-01,2027-03-31,0.215,0.07,0,0,,,,,
XOL-2024,XM1COR,Marine XOL - Layer 1,XM1COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,10000000,7500000,1
XOL-2024,XM2COR,Marine XOL - Layer 2,XM2COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,17500000,12500000,1
XOL-2024,XR1COR,Property Per Risk XOL - Layer 1,XR1COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,10000000,5000000,0.875
XOL-2024,XC1COR,Property Cat XOL - Layer 1,XC1COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,30000000,20000000,0.75
XOL-2024,XC2COR,Property Cat XOL - Layer 2,XC2COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,50000000,35000000,1
XOL-2024,XC3COR,Property Cat XOL - Layer 3,XC3COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,85000000,40000000,1
XOL-2024,XT1COR,Terrorism XOL - Layer 1,XT1COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,20000000,30000000,0.9067
XOL-2024,XT2COR,Terrorism XOL - Layer 2,XT2COR,,,XOL,,,0.0,0.0,0.0,,0.0,0.0,0.0,2024-01-01,2024-12-31,,,,,,,50000000,50000000,0.8185
